  
 ----------------
 Bad Element Info
 ----------------
  
 Element         5766
         0.99847482473639126       -1.8133333510004485E-002   0.0000000000000000     
          1.0131755537843301       -1.2289900606898828E-002   0.0000000000000000     
          1.0000000000000000        5.0000000000000001E-004   0.0000000000000000     
         0.99736192479940855       -8.2150726122218638E-003   0.0000000000000000     
 Problems:
       Maximum Angle      156.75658160603908     
  
 //////////////////////////////////////////////////
 Element         5768
          1.0130726550098115        1.1550217920893035E-002   0.0000000000000000     
         0.99743068553555214        1.5431381510476651E-002   0.0000000000000000     
         0.99796099909719083        7.4902080855192873E-004   0.0000000000000000     
          1.0000000000000000        5.0000000000000001E-004   0.0000000000000000     
 Problems:
       Condition          5.7630558361187916     
       Edge Ratio         8.3330246016901199     
  
 //////////////////////////////////////////////////
  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      4.9564E-03      1.4906E+00      1.3603E+00      1.9377E+00      3.2375E-03      5.1995E+01      1.2323E+02      1.0000E+00
      5.8793E-03      1.6310E+00      1.5697E+00      2.2295E+00      3.2124E-03      5.2021E+01      1.3424E+02      1.0000E+00
      3.2525E-03      1.1169E+00      1.0247E+00      1.2426E+00      2.6044E-03      7.9552E+01      1.0253E+02      1.0000E+00
      4.2539E-03      1.0491E+00      1.0052E+00      1.0766E+00      4.1592E-03      8.5997E+01      9.4266E+01      1.0000E+00
      4.1269E-03      1.0126E+00      1.0008E+00      1.0217E+00      4.1073E-03      8.8144E+01      9.1982E+01      1.0000E+00
      4.0442E-03      1.0345E+00      1.0047E+00      1.0498E+00      3.9320E-03      8.5301E+01      9.5507E+01      1.0000E+00
      4.2724E-03      1.0311E+00      1.0085E+00      1.0622E+00      4.0843E-03      8.2572E+01      9.5325E+01      1.0000E+00
      5.0627E-03      1.0722E+00      1.0146E+00      1.1353E+00      4.5565E-03      8.0374E+01      9.4314E+01      1.0000E+00
      4.2044E-03      1.0508E+00      1.0073E+00      1.0734E+00      3.9873E-03      8.4800E+01      9.6901E+01      1.0000E+00
      4.1459E-03      1.0416E+00      1.0043E+00      1.0736E+00      3.9435E-03      8.6228E+01      9.5224E+01      1.0000E+00
      4.4260E-03      1.0329E+00      1.0095E+00      1.0566E+00      4.2143E-03      8.2153E+01      9.5191E+01      1.0000E+00
      4.2267E-03      1.0375E+00      1.0102E+00      1.0661E+00      3.9978E-03      8.1854E+01      9.5373E+01      1.0000E+00
      3.4415E-03      1.1635E+00      1.1158E+00      1.2951E+00      2.4240E-03      8.0504E+01      1.1633E+02      1.0000E+00
      3.5139E-03      1.1698E+00      1.1203E+00      1.3085E+00      2.4697E-03      7.9501E+01      1.1678E+02      1.0000E+00
      1.3490E-03      1.4883E+00      1.3793E+00      2.0107E+00      8.1193E-04      5.8073E+01      1.2768E+02      1.0000E+00
      1.3551E-03      1.4872E+00      1.3749E+00      2.0130E+00      8.1492E-04      5.8311E+01      1.2748E+02      1.0000E+00
      8.1617E-04      1.1104E+00      1.0345E+00      1.2180E+00      6.4912E-04      8.1253E+01      1.0484E+02      1.0000E+00
      4.2723E-03      1.0297E+00      1.0078E+00      1.0534E+00      4.0665E-03      8.2856E+01      9.4399E+01      1.0000E+00
      3.4447E-03      1.1621E+00      1.1177E+00      1.2918E+00      2.4280E-03      8.0329E+01      1.1653E+02      1.0000E+00
      3.4409E-03      1.1624E+00      1.1172E+00      1.2916E+00      2.4257E-03      8.0331E+01      1.1648E+02      1.0000E+00
      1.3474E-03      1.4865E+00      1.3762E+00      2.0088E+00      8.1073E-04      5.8249E+01      1.2758E+02      1.0000E+00
      1.3472E-03      1.4867E+00      1.3765E+00      2.0088E+00      8.1058E-04      5.8235E+01      1.2759E+02      1.0000E+00
      8.1525E-04      1.1105E+00      1.0345E+00      1.2180E+00      6.4794E-04      8.1180E+01      1.0483E+02      1.0000E+00
      1.3538E-03      1.4853E+00      1.3715E+00      2.0105E+00      8.1561E-04      5.8427E+01      1.2732E+02      1.0000E+00
      1.3492E-03      1.4915E+00      1.3813E+00      2.0141E+00      8.0960E-04      5.8015E+01      1.2783E+02      1.0000E+00
      8.1615E-04      1.1105E+00      1.0346E+00      1.2178E+00      6.4913E-04      8.1269E+01      1.0485E+02      1.0000E+00
      1.2162E-03      1.0609E+00      1.0132E+00      1.1162E+00      1.0941E-03      8.0758E+01      9.3619E+01      1.0000E+00
      1.0160E-03      1.0380E+00      1.0029E+00      1.0676E+00      9.7197E-04      8.6910E+01      9.4270E+01      1.0000E+00
      1.0240E-03      1.0355E+00      1.0034E+00      1.0570E+00      9.8498E-04      8.6438E+01      9.4686E+01      1.0000E+00
      1.0147E-03      1.0079E+00      1.0005E+00      1.0177E+00      1.0007E-03      8.8162E+01      9.1169E+01      1.0000E+00
      1.2086E-03      1.0565E+00      1.0136E+00      1.1076E+00      1.0941E-03      8.0603E+01      9.3997E+01      1.0000E+00
      1.0231E-03      1.0353E+00      1.0036E+00      1.0561E+00      9.8435E-04      8.6310E+01      9.4833E+01      1.0000E+00
      1.0231E-03      1.0349E+00      1.0036E+00      1.0557E+00      9.8449E-04      8.6307E+01      9.4842E+01      1.0000E+00
      1.0133E-03      1.0085E+00      1.0009E+00      1.0162E+00      9.9754E-04      8.7579E+01      9.1537E+01      1.0000E+00
      9.8512E-04      1.0025E+00      1.0002E+00      1.0044E+00      9.8139E-04      8.8779E+01      9.1019E+01      1.0000E+00
      9.8891E-04      1.0032E+00      1.0001E+00      1.0071E+00      9.8539E-04      8.9265E+01      9.0739E+01      1.0000E+00
      9.8955E-04      1.0041E+00      1.0001E+00      1.0064E+00      9.8626E-04      8.9063E+01      9.0923E+01      1.0000E+00
      9.8242E-04      1.0013E+00      1.0000E+00      1.0021E+00      9.8183E-04      8.9559E+01      9.0428E+01      1.0000E+00
      1.3482E-03      1.4896E+00      1.3800E+00      2.0120E+00      8.1007E-04      5.8071E+01      1.2775E+02      1.0000E+00
      1.3479E-03      1.4836E+00      1.3744E+00      2.0061E+00      8.1315E-04      5.8308E+01      1.2744E+02      1.0000E+00
      8.1537E-04      1.1107E+00      1.0344E+00      1.2184E+00      6.4807E-04      8.1168E+01      1.0482E+02      1.0000E+00
